"time","an_nh.l2.v","an_nh.naca.e1","an_nh.naca.e2","an_nh.naca.e3","an_nh.naca.e4","an_nh.naca.f1_3n_i","an_nh.naca.f1_3n_o","an_nh.naca.i","an_nh.naca.k_12","an_nh.naca.k_14","an_nh.naca.k_21","an_nh.naca.k_23","an_nh.naca.k_32","an_nh.naca.k_41","n.l2.v","n.naca.e1","n.naca.e2","n.naca.e3","n.naca.e4","n.naca.f1_3n_i","n.naca.f1_3n_o","n.naca.i","n.naca.k_12","n.naca.k_14","n.naca.k_21","n.naca.k_23","n.naca.k_32","n.naca.k_41","an_nh.naca.k_34","an_nh.naca.k_43","an_nh.vc.v","n.naca.k_34","n.naca.k_43","n.vc.v"
0.01,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.011,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.012,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.013,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.014,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.015,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.016,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.017,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.018,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
0.019,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-5.369252842421366e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,-0.04,0.9205758990812992,0.02892568331286787,0.01053047730547229,0.03996794030036067,0.232288037166086,0.9677664641269709,-1.94091234506448e-12,0.007866788636500777,0.0589874174775224,0.2190097833770762,0.2949053900141707,0.7239340926457299,1.381341216222245,0.9677664641269709,0.232288037166086,-0.04,0.9677664641269709,0.232288037166086,-0.04
